id,revenue_str,contact_email,fname,lname,phone_num
23e58bed-ff84-4dc5-a9aa-2d3f5cb904ef,4490.35,pharvey@example.com,Gregory,Lynch,001-623-474-7407
5da69a06-7834-421e-a8d4-576db96c82be,516.32,danielle64@example.com,Scott,Reed,836-671-3695x9440
eeb3fcb1-827f-4270-a281-dd15600211ec,7434.77,lozanojulie@example.com,Ashlee,Jennings,001-739-453-3942x10470
e37ed88f-5c5c-4eef-a1c6-6d00e550d894,7078.56,ithompson@example.net,Renee,Murphy,(488)542-4745x171
22987e62-04f7-472d-aac5-15cb9ee820e4,5664.32,christopher60@example.com,Tammy,Ballard,+1-517-954-9651
02a114d3-c3fb-4cf0-ae35-4dc5ebeb4ce2,11580.04,rose31@example.net,Christine,Hahn,446.812.0047x113
4fc7b791-b069-4cdb-ae1d-3218776f1a34,5471.39,umatthews@example.org,Nathan,Avery,(717)796-4053x77351
56ad85f7-47bf-445c-a9d9-7fd0f7b8dbbe,315.35,rushmadison@example.org,Raymond,Lopez,+1-539-500-5329x31839
00a26b34-5858-49f2-a1f5-23903adf7024,7590.56,ramireztracey@example.org,Kim,Kramer,+1-742-210-2053
a3e48cbb-692d-4f0a-a865-a99a3a45b50e,7012.42,vfox@example.org,Joseph,Martinez,975.289.1783x9084
75bc16e3-0019-49ee-ab5e-b91a9baaf5d1,13640.50,fparks@example.net,Yolanda,Boone,711.859.2124x998
61db11b5-ea47-406e-ab35-a68d0da84a93,4627.37,sgarcia@example.org,Kenneth,Wagner,+1-883-767-3657x6615
862a5183-91fc-4ee8-ade5-13b76f5be038,4390.18,fjones@example.org,Nicholas,Hernandez,(215)628-0988x51656
0418883f-a6f5-4b17-a542-615ea8690180,5570.18,ericolson@example.org,Michael,Lane,(285)614-9368x998
b3dfb183-161e-47cf-ae2e-470f454498a6,4528.73,sandra50@example.org,Henry,Park,(896)812-0183
7d34aab4-2a3b-4a29-a6bb-49937b5882ac,14561.10,kimberly99@example.org,Matthew,Wood,9229901476
0ea76e29-a244-490e-acad-c7aeec3b3793,1464.45,reeddaniel@example.net,Joshua,Fischer,+1-497-684-0369x00343
aafa9118-e54b-4206-a16c-efa8171f22e2,5499.14,ythompson@example.net,Mark,Smith,001-738-885-1606x071
39e6222d-8017-4180-a0de-40403c318820,10439.08,darius05@example.org,Richard,Bowman,+1-875-616-1369x681
a52000c4-0ca4-458f-a0e0-ff57affcc7ab,1780.87,dixondaniel@example.net,Jeffrey,Maxwell,455.423.1243
5d2d0b2f-a1c5-4e49-a868-a7ad1cf6850b,3629.35,kmarshall@example.net,Gregory,Mejia,299.755.2717x744
2b6f7974-1d53-4080-aa04-560880d3fda3,7647.52,brownmarie@example.org,Charles,Murray,+1-719-998-6798x0793
86b84f32-e8e7-4fc5-af6b-f25eff6d9cf8,5659.48,shepherdmary@example.net,Edward,Brown,482-703-7788
37a3a29c-adf9-4891-a8b2-b52872d0575f,9853.13,erika05@example.org,Samantha,Hughes,818-464-4925x19254
15fd5efc-afec-4bdb-a591-18a670adf72d,7252.03,lisa81@example.net,Kyle,Bennett,+1-468-350-5423x57332
c4b8a5fd-1adb-4e83-aee2-2a999e787a42,7690.52,stanleynancy@example.net,Megan,Garcia,(296)822-2927
9b5ba54f-ae92-40e0-a69b-5b8a1433f17d,3112.31,wbishop@example.net,Erica,Young,838.834.7359x774
446b069f-3548-4090-a4de-7c7c856e9ea3,3523.35,moniquewilliams@example.com,Lisa,Solis,(881)381-4124x782
af41485d-115d-42d2-ae06-617df5aab3a2,6675.22,perryrandy@example.com,Lisa,Wilkerson,461.453.0515
6298085e-684b-4de0-a6ff-823bd471d3c5,4674.31,katherineharrison@example.net,Justin,Gallegos,8103432898
4155aa61-8aa7-4370-a2bc-c2dc2ed53a10,5197.36,robertbauer@example.com,John,Martinez,417-698-0893
9240d942-3859-4043-aab7-aa926f4cdaee,12523.44,qlopez@example.org,Aaron,Gomez,651.288.8880x67065
667c46f7-63ea-4a75-a8e6-08a5d51abf27,7426.18,ingramjill@example.com,Kristina,Cooper,(405)385-2772
2aeb4bc5-5360-4733-a48e-f9cecf2451b6,3291.37,ninastewart@example.com,Benjamin,Harris,868.874.0345x05415
8c05228d-9da2-4286-a7a8-7bdefe219d25,8209.57,tylerjimenez@example.net,Patricia,Hughes,716-616-9284x511
9fc2c52a-3a0a-4b9e-a54e-b6bfb536528f,2592.16,hannahbell@example.org,Sean,Robbins,001-959-264-0165x8202
3e09f8da-406a-4c02-ac09-326c7ab4a03a,7140.68,michael90@example.net,Carlos,Osborne,(775)857-1928
918cc894-0949-49fa-a58b-4bf2df56182f,9403.78,johnsonjacob@example.net,Debra,Wright,(381)944-7394x7312
a047121a-1c74-4799-a7dc-68a887c10561,2906.69,cochrantammy@example.com,Rachel,Wallace,+1-451-588-4422x58313
8614332f-9208-4636-abbb-51cd8e960563,2770.34,tanner82@example.net,Anthony,Spencer,314-467-8669
5f977512-e467-4d62-a0cd-997071e681e9,8037.52,david89@example.org,Dawn,Cole,001-626-380-1824x22535
57b46b82-e9ff-4a6b-a0e5-5018d183d041,9917.72,david49@example.net,James,Huber,782-299-2299
54882d68-7a51-4f6c-ae32-fd7128f963a2,4263.83,debra96@example.net,Christopher,Fry,+1-407-984-4736x4710
af5aa080-d279-4a4d-a4c2-9b4f396c4d49,7076.43,larryhiggins@example.net,Todd,Harris,(962)558-8153x714
a96073ee-ac8a-4077-a1dc-08e5fc96b2fe,16603.53,alin@example.org,Colin,Roberts,(959)653-2787
b4d8bca3-7dd5-4ae6-af69-a557073f3ffd,10344.66,nlevy@example.net,Andrew,Landry,(400)647-9748x016
49ff872f-44b2-4138-a31f-8fb80b17025d,11117.65,jwilliams@example.org,Kathryn,Diaz,(484)316-8784x991
d316616a-da43-4c5a-a6a6-49776cdcf905,5540.97,kari39@example.net,Nathaniel,Hatfield,(480)700-2578x7298
cb7d85bb-ed92-4611-a157-74a9cc777263,3220.42,brittney88@example.net,Francisco,Ewing,994.670.5516x9409
c0cc12de-3c6f-4e9f-a1dd-d117f8c3c735,7482.12,ojackson@example.net,Becky,Griffith,+1-462-830-9130x756
938a8043-48f2-4357-a5b5-04e27025a799,3822.39,vsalas@example.net,Robert,Hampton,7284385786
7702b3f3-54fd-49c0-a3d4-3a43ba89153c,6022.60,erica49@example.com,Rhonda,Peterson,934.784.3443
0b2b171f-f825-4772-a28b-8a3453dbc3ad,928.96,keith98@example.com,Michael,Peck,(652)640-4157x4733
70d40298-19d3-4d3a-a4b4-adf07f77c8e9,7812.91,johnsantiago@example.net,Daniel,Yang,230.416.5712
2091d4dd-6fec-42a9-a3dd-10382d3c2046,3913.02,mwoods@example.com,Denise,Gilmore,440-619-3802x62067
8cab6725-7e90-4b81-a9d8-324cf10d2ebd,3691.77,hebertmatthew@example.com,Albert,Bradley,+1-688-472-8743x1527
0b69d5a5-9303-4b27-a151-afda6683b57c,6114.06,gregorychase@example.com,Jill,Gibbs,(585)916-1227x53046
415f845e-f985-411f-a3c5-57a298f30f99,2232.68,greenmichael@example.org,Stephanie,Turner,6177426841
