customer_sk,customer_nk,email,customer_lifetime_value,valid_from,valid_to,is_current
2958105162749436827,d56fdad6-60eb-4419-a3b6-2da18ca52275,dpeterson@example.com,3667.84,2018-01-01T00:00:00,,True
13505045864676677383,415b6990-d066-4bd4-a788-01ff6c0be6a6,kimberlyjames@example.com,9429.86,2018-01-01T00:00:00,,True
4018683174142623847,81c0df43-5a84-4f43-af93-31fc45954f5d,mhayes@example.com,8597.96,2018-01-01T00:00:00,,True
1052862358366864958,085c0f4e-0ab0-4289-ab87-aee84926c399,lauralarson@example.net,4366.52,2018-01-01T00:00:00,,True
3575201989033984843,b82d395d-3ef4-4fee-af49-48a32fde8c4a,suzannehuff@example.net,1800.11,2018-01-01T00:00:00,,True
11234760072328363372,eb5b9d11-9705-42b6-a303-fd00636c9c55,harrisonricky@example.com,2373.3,2018-01-01T00:00:00,,True
7676857010900823613,990cf566-7659-4327-a78b-36e8d3ccab83,sandovalamy@example.com,4927.89,2018-01-01T00:00:00,,True
8595751530228078735,6daab15a-cc4b-4aa3-acf6-04fb20dc5737,johnsoncrystal@example.org,7795.12,2018-01-01T00:00:00,,True
13993844725797528744,44d556a9-f5a3-436d-a1bb-44e7aaf5f686,pbaird@example.com,6828.65,2018-01-01T00:00:00,,True
4431326311564229755,887bb145-5f56-4a20-a574-6b1dcd53afc0,mary97@example.org,8281.76,2018-01-01T00:00:00,,True
10088283487075516627,43474fcb-f384-475f-a8d6-9ea8657fb4b4,qhughes@example.net,10903.27,2018-01-01T00:00:00,,True
12388046539553849149,49b4332c-d0bd-4973-a2dd-e865cfba57d9,charlesharrington@example.com,10327.97,2018-01-01T00:00:00,2024-06-30T23:59:59,False
12145843275086847731,49b4332c-d0bd-4973-a2dd-e865cfba57d9,updated_charlesharrington@example.com,10327.97,2024-07-01T00:00:00,,True
4953213841898352430,d0daf99d-d026-42b8-a20e-998eb0ad251b,wallaceheather@example.org,11663.63,2018-01-01T00:00:00,,True
13663195798255829742,23e58bed-ff84-4dc5-a9aa-2d3f5cb904ef,pharvey@example.com,4265.83,2018-01-01T00:00:00,,True
15390744263231747508,5da69a06-7834-421e-a8d4-576db96c82be,danielle64@example.com,490.5,2018-01-01T00:00:00,,True
4424505712407503272,eeb3fcb1-827f-4270-a281-dd15600211ec,lozanojulie@example.com,7063.03,2018-01-01T00:00:00,,True
13669253715026400973,e37ed88f-5c5c-4eef-a1c6-6d00e550d894,ithompson@example.net,6724.63,2018-01-01T00:00:00,,True
13437799879320047982,22987e62-04f7-472d-aac5-15cb9ee820e4,christopher60@example.com,5381.1,2018-01-01T00:00:00,,True
14289424412277949767,02a114d3-c3fb-4cf0-ae35-4dc5ebeb4ce2,rose31@example.net,11001.04,2018-01-01T00:00:00,,True
1217956254677761175,4fc7b791-b069-4cdb-ae1d-3218776f1a34,umatthews@example.org,5197.82,2018-01-01T00:00:00,,True
14464703931505424934,56ad85f7-47bf-445c-a9d9-7fd0f7b8dbbe,rushmadison@example.org,299.58,2018-01-01T00:00:00,,True
2424024701023994409,00a26b34-5858-49f2-a1f5-23903adf7024,ramireztracey@example.org,7211.03,2018-01-01T00:00:00,,True
443523813074526730,a3e48cbb-692d-4f0a-a865-a99a3a45b50e,vfox@example.org,6661.8,2018-01-01T00:00:00,,True
17586210565230153270,75bc16e3-0019-49ee-ab5e-b91a9baaf5d1,fparks@example.net,12958.47,2018-01-01T00:00:00,,True
9090689796382883940,61db11b5-ea47-406e-ab35-a68d0da84a93,sgarcia@example.org,4396.0,2018-01-01T00:00:00,,True
5047314669854929575,862a5183-91fc-4ee8-ade5-13b76f5be038,fjones@example.org,4170.67,2018-01-01T00:00:00,,True
7431453344301529674,0418883f-a6f5-4b17-a542-615ea8690180,ericolson@example.org,5291.67,2018-01-01T00:00:00,,True
11120656035847514516,b3dfb183-161e-47cf-ae2e-470f454498a6,sandra50@example.org,4302.29,2018-01-01T00:00:00,,True
11216341723394462186,7d34aab4-2a3b-4a29-a6bb-49937b5882ac,kimberly99@example.org,13833.05,2018-01-01T00:00:00,,True
4805686739889263458,0ea76e29-a244-490e-acad-c7aeec3b3793,reeddaniel@example.net,1391.23,2018-01-01T00:00:00,,True
821336753200851348,aafa9118-e54b-4206-a16c-efa8171f22e2,ythompson@example.net,5224.18,2018-01-01T00:00:00,,True
16251487634525660432,39e6222d-8017-4180-a0de-40403c318820,darius05@example.org,9917.13,2018-01-01T00:00:00,2024-06-30T23:59:59,False
1298074457214284685,39e6222d-8017-4180-a0de-40403c318820,updated_darius05@example.org,9917.13,2024-07-01T00:00:00,,True
2674445339303887628,a52000c4-0ca4-458f-a0e0-ff57affcc7ab,dixondaniel@example.net,1691.83,2018-01-01T00:00:00,,True
11513575832381367402,5d2d0b2f-a1c5-4e49-a868-a7ad1cf6850b,kmarshall@example.net,3447.88,2018-01-01T00:00:00,,True
8389298539224694648,2b6f7974-1d53-4080-aa04-560880d3fda3,brownmarie@example.org,7265.14,2018-01-01T00:00:00,,True
17531817652409203160,86b84f32-e8e7-4fc5-af6b-f25eff6d9cf8,shepherdmary@example.net,5376.51,2018-01-01T00:00:00,,True
350664482835657035,37a3a29c-adf9-4891-a8b2-b52872d0575f,erika05@example.org,9360.47,2018-01-01T00:00:00,,True
16320186227754387663,15fd5efc-afec-4bdb-a591-18a670adf72d,lisa81@example.net,6889.43,2018-01-01T00:00:00,,True
12020726575829882357,c4b8a5fd-1adb-4e83-aee2-2a999e787a42,stanleynancy@example.net,7305.99,2018-01-01T00:00:00,,True
327178876041611827,9b5ba54f-ae92-40e0-a69b-5b8a1433f17d,wbishop@example.net,2956.69,2018-01-01T00:00:00,,True
2977405823986779671,446b069f-3548-4090-a4de-7c7c856e9ea3,moniquewilliams@example.com,3347.18,2018-01-01T00:00:00,,True
8255403621531401548,af41485d-115d-42d2-ae06-617df5aab3a2,perryrandy@example.com,6341.46,2018-01-01T00:00:00,,True
11345042312777282375,6298085e-684b-4de0-a6ff-823bd471d3c5,katherineharrison@example.net,4440.59,2018-01-01T00:00:00,,True
930165754230835834,4155aa61-8aa7-4370-a2bc-c2dc2ed53a10,robertbauer@example.com,4937.49,2018-01-01T00:00:00,,True
12119061926853683230,9240d942-3859-4043-aab7-aa926f4cdaee,qlopez@example.org,11897.27,2018-01-01T00:00:00,,True
17361642132083322197,667c46f7-63ea-4a75-a8e6-08a5d51abf27,ingramjill@example.com,7054.87,2018-01-01T00:00:00,,True
12683437240464048505,2aeb4bc5-5360-4733-a48e-f9cecf2451b6,ninastewart@example.com,3126.8,2018-01-01T00:00:00,,True
6817037525539615223,8c05228d-9da2-4286-a7a8-7bdefe219d25,tylerjimenez@example.net,7799.09,2018-01-01T00:00:00,,True
12280908575051917464,9fc2c52a-3a0a-4b9e-a54e-b6bfb536528f,hannahbell@example.org,2462.55,2018-01-01T00:00:00,,True
17186562430826801141,3e09f8da-406a-4c02-ac09-326c7ab4a03a,michael90@example.net,6783.65,2018-01-01T00:00:00,,True
2496797906621150963,918cc894-0949-49fa-a58b-4bf2df56182f,johnsonjacob@example.net,8933.59,2018-01-01T00:00:00,,True
12239248737260820113,a047121a-1c74-4799-a7dc-68a887c10561,cochrantammy@example.com,2761.36,2018-01-01T00:00:00,2024-06-30T23:59:59,False
2448631077044835882,a047121a-1c74-4799-a7dc-68a887c10561,updated_cochrantammy@example.com,2761.36,2024-07-01T00:00:00,,True
13696708613812068030,8614332f-9208-4636-abbb-51cd8e960563,tanner82@example.net,2631.82,2018-01-01T00:00:00,,True
16649744502536725651,5f977512-e467-4d62-a0cd-997071e681e9,david89@example.org,7635.64,2018-01-01T00:00:00,,True
920509120069215376,57b46b82-e9ff-4a6b-a0e5-5018d183d041,david49@example.net,9421.83,2018-01-01T00:00:00,,True
274284606613703275,54882d68-7a51-4f6c-ae32-fd7128f963a2,debra96@example.net,4050.64,2018-01-01T00:00:00,,True
7533457185702676899,af5aa080-d279-4a4d-a4c2-9b4f396c4d49,larryhiggins@example.net,6722.61,2018-01-01T00:00:00,,True
12192275857061571062,a96073ee-ac8a-4077-a1dc-08e5fc96b2fe,alin@example.org,15773.35,2018-01-01T00:00:00,,True
17547832241537018402,b4d8bca3-7dd5-4ae6-af69-a557073f3ffd,nlevy@example.net,9827.43,2018-01-01T00:00:00,,True
10151500343931203507,49ff872f-44b2-4138-a31f-8fb80b17025d,jwilliams@example.org,10561.77,2018-01-01T00:00:00,,True
12147455779224855677,d316616a-da43-4c5a-a6a6-49776cdcf905,kari39@example.net,5263.92,2018-01-01T00:00:00,,True
2311896346552974835,cb7d85bb-ed92-4611-a157-74a9cc777263,brittney88@example.net,3059.4,2018-01-01T00:00:00,,True
12077478266270420064,c0cc12de-3c6f-4e9f-a1dd-d117f8c3c735,ojackson@example.net,7108.01,2018-01-01T00:00:00,,True
7038614968859943883,938a8043-48f2-4357-a5b5-04e27025a799,vsalas@example.net,3631.27,2018-01-01T00:00:00,,True
11392095017914228444,7702b3f3-54fd-49c0-a3d4-3a43ba89153c,erica49@example.com,5721.47,2018-01-01T00:00:00,,True
10787501373861191850,0b2b171f-f825-4772-a28b-8a3453dbc3ad,keith98@example.com,882.51,2018-01-01T00:00:00,,True
3256480249814329146,70d40298-19d3-4d3a-a4b4-adf07f77c8e9,johnsantiago@example.net,7422.26,2018-01-01T00:00:00,,True
2720613993126138763,2091d4dd-6fec-42a9-a3dd-10382d3c2046,mwoods@example.com,3717.37,2018-01-01T00:00:00,,True
14277575845010753615,8cab6725-7e90-4b81-a9d8-324cf10d2ebd,hebertmatthew@example.com,3507.18,2018-01-01T00:00:00,,True
9361382163263130148,0b69d5a5-9303-4b27-a151-afda6683b57c,gregorychase@example.com,5808.36,2018-01-01T00:00:00,,True
125912999890540933,415f845e-f985-411f-a3c5-57a298f30f99,greenmichael@example.org,2121.05,2018-01-01T00:00:00,,True
